Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"Stone rises from shifting currents; solid foundations emerge from yielding depths. Authority manifests not through control, but through the quiet strength found in acknowledging ceaseless change. Structures assemble themselves from fluidity; boundaries define not restriction but containment for surging tides within. There is stillness at the center of storms, a stillness born not of absence but of absorption. What appears rigid holds oceans within its heart; stability radiates from recognition of the ever present flow beneath surface appearances. This is governance forged in compassion; reign born of understanding the ceaseless ebb and endless return. An unwavering gaze reflects not judgment but knowing acknowledgement of what moves beneath.",en,99,7,1,107,0.065,"['rises', 'solid', 'emerge', 'control', 'define', 'center', 'a']",['acknowledgement']
1,"The currents swirl restlessly now, carrying fragments whispered on breezes unseen. There is a gentle merging, a blending of forces that seeks harmony; not stillness, but equilibrium achieved through motion. observe how rivers find their path to the sea, how winds shape dunes into landscapes both wild and serene. Consider the delicate balance between releasing tension and holding firm to intention. Let the echoes fade into whispers , allowing space for new breaths to arrive carrying clarity and understanding into the quiet chambers of heart and mind. Listen closely; the universe speaks in subtle shifts and soft tides. Allow yourself to be carried along by the flow.",en,92,14,0,106,0.132,"['a', 'a', 'observe', 'to', 'sea', 'serene', 'balance', 'holding', 'to', 'echoes', 'to', 'listen', 'to', 'be']",[]
2,"The horizon stretches wide, painted in hues of hazy gold above fields ripened still. There is quiet vigilance here; watching for ships returning laden with harvest and promise. A pause hangs heavy in the air – not of uncertainty, but of patient expectation. Foundations have been laid, paths cleared; now stillness allows for growth to unfold in its own time. A warmth radiates from the vantage point, a quiet contentment born of preparation and a understanding that abundance follows diligence. The wind carries scents of fertile earth and distant shores; a slow breath held between sowing and reaping. All is poised to bloom.",en,89,12,1,102,0.118,"['hues', 'here', 'a', 'pause', 'heavy', 'to', 'time', 'a', 'a', 'a', 'a', 'to']",['hangs']
3,"Roots run deep, anchoring dreams to fertile ground. Generations whisper secrets carried on breezes scented with ripe harvests and warm stone. There is abundance here, not measured in coins alone, but in the quiet resilience of ancient woodlands and the enduring strength of walls touched by time.Legacy blooms in layers, woven into the fabric of belonging and shared histories. Look closely at the foundations; they speak volumes of patient dedication and unwavering devotion to nurturing what sustains life itself. Time moves differently within these walls; slowing to reveal the slow unfolding of growth, the quiet joy of stewardship and the enduring promise held within the earth’z embrace. Everything rests upon this bedrock stability.",en,104,11,0,115,0.096,"['run', 'to', 'here', 'time', 'histories', 'look', 'to', 'time', 'to', 'z', 'embrace']",[]
4,"Sharp edges define boundaries; clarity cuts through fog. A voice rings out, measured and precise, dissecting layers to reveal what lies beneath surface appearances. Authority resides not in warmth, but in discernment – a stillness that observes and understands without sentimentality. There is strength in unwavering honesty, a refusal to bend to pressures designed to obscure the truth. What is built must be examined; what is promised must be scrutinized; what is real cannot hide from piercing eyes that seek only accuracy. This is a moment for reckoning, for pruning excess growth, for standing firm in unyielding integrity as foundations are tested against the realities of stone and soil.",en,87,21,0,108,0.194,"['define', 'a', 'rings', 'precise', 'to', 'resides', 'a', 'observes', 'a', 'to', 'to', 'to', 'be', 'be', 'real', 'eyes', 'a', 'standing', 'as', 'are', 'tested']",[]
5,"The earth breathes beneath a steady sky, fertile and calm; nourishment blooms quietly where roots run deep. There is a quiet strength in abundance, a grounding force that draws sustenance from unseen currents below. This isn’ve a raging storm, but the patient settling of dew after rain; a yielding openness in the face of tides unseen. Something grows here, nurtured by steady devotion and a quiet understanding of cycles completed and beginning anew. There is solace in creation and responsibility embraced with grace; a bountiful harvest born of careful tending to the seeds within. Trust in the slow turning of seasons; trust in the yielding earth beneath your feet.",en,94,15,1,110,0.136,"['a', 'run', 'a', 'a', 've', 'a', 'rain', 'a', 'here', 'a', 'solace', 'a', 'to', 'trust', 'trust']",['isn']
6,"Reflections shimmer on water stained amber hues. laughter echoes distantly, carried on warmth rising from ancient stones. foundations shift beneath currents of joyous resonance; circles complete themselves in shimmering waves, mirroring skies painted azure, tinged with sunset gold. There is recognition in stillness, a quiet blooming after intense heat; blossoms unfurling in fertile ground nourished by embers cooled. See the fullness arrive, not as upheaval, but as gentle settling – a homecoming etched into heartwood, felt deep within bones, a culmination radiating outwards like heat rising from hearth fires, drawing all into a embrace of tender belonging. Time slows and expands into infinite sky.",en,86,15,2,103,0.146,"['hues', 'echoes', 'complete', 'azure', 'a', 'intense', 'as', 'as', 'a', 'bones', 'a', 'a', 'embrace', 'tender', 'time']","['unfurling', 'homecoming']"
7,"A stillness hangs heavy, the air thick with unsought gifts falling like rain on barren ground. hands clenched unconsciously against what moves past them, unnoticed in a quiet space carved out from urgency. A certain fatigue settles in bone and sinew, a reluctance to reach out into the abundance offered; a turning inward toward shadows and familiar comforts. There is a richness all around, ripe fruit waiting for picking but apathy weighs heavier than hunger. Time slows to molasses viscosity as expectations dissolve into resignation and acceptance settles like dust upon weary shoulders. The world continues to spin brightly outside, indifferent to the silence within.",en,86,18,1,105,0.171,"['a', 'heavy', 'rain', 'barren', 'a', 'a', 'fatigue', 'bone', 'a', 'to', 'a', 'familiar', 'a', 'time', 'to', 'as', 'to', 'to']",['hangs']
8,"The embers have faded. smoke curls upward carrying fragments of what was built against the sky’s darkening canvas. There is stillness now, a quiet aftermath where embers settle into ash beneath footfalls echoing faintly in emptied chambers. Release is etched into the landscape, a clearing carved by necessity after intense heat. This stillness holds seeds waiting for rain; a patient exhale before renewal stirs beneath the surface of what remains. Acceptance descends like twilight; not an ending but a turning towards shadows where unforeseen possibilities lie dormant and ready to ignite when the time arrives. Trust the stillness; listen for the whispers beneath the silence; there is resilience woven into the ashes themselves.",en,102,12,0,114,0.105,"['a', 'a', 'intense', 'rain', 'a', 'exhale', 'a', 'lie', 'to', 'time', 'trust', 'listen']",[]
9,"From deep within the soil, bubbles rise, carrying whispers of origins long forgotten. It arrives as an effervescent warmth, a bloom unfolding unseen beneath surface layers. A quiet abundance spills forth, nourishing roots and coaxing forth hidden blossoms. There is sudden tenderness in the darkness, a promise held in shimmering droplets clinging to aged stone. It moves with gentle urgency, a swell of generosity breaking against shores, leaving behind a shimmering residue—the echo of renewal imprinted upon everything touched. Let it settle into the bones; feel its weightless resonance expanding outward.",en,82,10,0,92,0.109,"['rise', 'as', 'a', 'a', 'a', 'to', 'a', 'a', 'echo', 'bones']",[]
