Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"In the depths of the soul, a mighty fortress stands, its walls forged from the unyielding strength of conviction and purpose. Yet, within its grand halls, a secret chamber lies hidden, where the tides of emotion ebb and flow, shaping the very foundations of the self. Here, the Emperor's iron will meets the fluidity of the heart, a union that yields a profound understanding of the intricate dance between reason and feeling. As the waters of the psyche rise and fall, they reveal the hidden currents that drive the individual's every move, illuminating the path to true self-knowledge and the wisdom that comes from embracing the full spectrum of one's emotional experience.",en,101,15,0,116,0.129,"['soul', 'a', 'grand', 'a', 'here', 'a', 'a', 'dance', 'as', 'rise', 'individual', 'to', 'true', 'comes', 'full']",[]
1,"In the realm of the mind, a delicate balance is struck between opposing forces, each vying for dominance. The breath of life, a subtle yet potent current, flows through the labyrinthine corridors of thought, animating the dance of ideas and emotions. As the vital essence courses through the mental landscape, it weaves a tapestry of perception, shaping the very fabric of reality. The seeker must navigate this intricate web with care, lest the threads of confusion and miscommunication ensnare them. Instead, they must cultivate a clarity of mind, a precision of thought, and a harmony of expression, that the divine ideas may flow unimpeded through their consciousness, illuminating the path ahead.",en,92,18,1,111,0.162,"['a', 'balance', 'a', 'dance', 'ideas', 'as', 'vital', 'mental', 'a', 'reality', 'web', 'care', 'instead', 'a', 'a', 'a', 'divine', 'ideas']",['miscommunication']
2,"In the depths of the earth, where ancient secrets slumber, a spark of potential stirs. The ground trembles with the promise of new life, as roots dig deep and branches reach for the sky. The cycle of growth and decay, of birth and death, plays out in the rich soil, where every ending is a beginning. The earth's bounty is a mirror of the soul's abundance, reflecting the richness of our inner world. As we tend the garden of our lives, we must nurture both the seeds of our dreams and the roots of our being, allowing them to intertwine and flourish. In this dance of creation and sustenance, we find the rhythm of our true nature, and the earth's wisdom guides us home to ourselves.",en,118,11,0,129,0.085,"['a', 'as', 'a', 'a', 'soul', 'as', 'to', 'dance', 'true', 'nature', 'to']",[]
3,"In the realm of manifestation, where spirit meets matter, a tapestry of abundance weaves its way through the fabric of existence. The threads of prosperity and fulfillment intertwine, forming a sturdy foundation upon which to build a life of purpose and meaning. As the material plane comes alive with potential, the boundaries between dreams and reality blur, inviting the soul to embrace its earthly form and all its wonders. In this sacred dance between the tangible and the intangible, the querent is called to align their innermost desires with the rhythms of the physical world, nurturing a harmonious relationship between the self and the environment that sustains it. Through this union, the path to true fulfillment is illuminated, guiding the way towards a life of balance, abundance, and lasting joy.",en,109,21,0,130,0.162,"['a', 'a', 'to', 'a', 'as', 'material', 'plane', 'comes', 'reality', 'soul', 'to', 'embrace', 'dance', 'tangible', 'intangible', 'to', 'a', 'to', 'true', 'a', 'balance']",[]
4,"In the realm of the tangible, where spirit meets matter, a figure of keen intellect and discernment reigns supreme. With sword in hand, she cuts through the veil of illusion, revealing the truth that lies beneath. Her gaze is sharp, her mind unyielding, as she navigates the complexities of the material world. She is the guardian of resources, the keeper of secrets, and the weaver of fate. Her presence is a reminder that the power to shape reality lies not in the hands of the gods, but in the choices we make each day. In her realm, every action has consequence, every decision ripples outward, and every thought takes form. She is the embodiment of the earth's wisdom, a symbol of the enduring strength that lies within us all.",en,116,14,0,130,0.108,"['tangible', 'a', 'figure', 'her', 'her', 'as', 'material', 'her', 'a', 'to', 'reality', 'her', 'has', 'a']",[]
5,"In the depths of your soul, a rich tapestry of emotions unfurls, a kaleidoscope of hues and textures that weave together the threads of your innermost being. Like a river, your feelings flow and ebb, ever-changing yet constant in their essence. As you gaze into the mirror of your own heart, you behold the reflection of your truest self, a complex and multifaceted entity that yearns for expression and connection. The waters of your emotions, though sometimes turbulent and unpredictable, hold the key to understanding your deepest desires and needs. By embracing their power and allowing them to guide you, you may find the path to a more authentic and harmonious existence, one that resonates with the rhythms of your own inner world.",en,111,12,1,124,0.097,"['soul', 'a', 'a', 'hues', 'a', 'as', 'a', 'to', 'to', 'to', 'a', 'more']",['unfurls']
6,"In the depths of the soul, a flame flickers, a spark of divine will that yearns to be fanned into a blaze of purpose. The heart's deepest desires, long buried beneath the ashes of forgotten dreams, now stir with renewed passion, seeking to rise from the embers of the past. As the fire of determination ignites, it burns away the old, the stagnant, and the worn, making way for the birth of new creations, born from the crucible of transformation. The path ahead is fraught with challenges, but the will to overcome them is strong, fueled by an inner power that cannot be tamed. With each step forward, the flame grows brighter, illuminating the way to a future where dreams are realized and the heart's truest desires are fulfilled.",en,111,19,1,131,0.145,"['soul', 'a', 'a', 'divine', 'to', 'be', 'a', 'buried', 'to', 'rise', 'as', 'to', 'fueled', 'be', 'brighter', 'to', 'a', 'are', 'are']",['fulfilled']
7,"In the depths of the earth, where roots delve deep and ancient stones whisper secrets, lies a realm of stability and substance. Here, the whispers of the soul take form, manifesting as the tangible expressions of our desires and dreams. The earth beneath our feet, a canvas of potential, awaits the brushstrokes of our intentions, transforming the ethereal into the concrete. As we tend to this fertile ground, nurturing the seeds of our aspirations, we must also heed the call to balance and harmony, lest the weight of our actions crush the very essence we seek to cultivate. In this dance between spirit and matter, we find the key to unlocking the fullness of our being, and the earth, in all its solidity and beauty, stands as a testament to the power of manifestation and the enduring strength of our deepest convictions.",en,124,17,1,142,0.12,"['a', 'here', 'soul', 'as', 'tangible', 'a', 'concrete', 'as', 'to', 'to', 'balance', 'to', 'dance', 'to', 'as', 'a', 'to']",['brushstrokes']
8,"In the depths of a fiery crucible, the old is consumed, leaving only the essence of the true self. The will, once a raging inferno, now burns with a steady, focused flame, illuminating the path forward. The seeker stands at the threshold, ready to embrace the transformative power of their inner fire, to harness its energy and channel it towards a higher purpose. The flames dance, casting shadows that reveal the hidden truths of the heart, and the seeker must confront these revelations with courage and determination. As the fire rages, the seeker's spirit is tempered, strengthened, and purified, emerging from the trial a new being, forged in the crucible of their own willpower and drive.",en,101,15,1,117,0.128,"['a', 'true', 'once', 'a', 'inferno', 'a', 'to', 'embrace', 'to', 'a', 'dance', 'casting', 'as', 'trial', 'a']",['willpower']
9,"In the depths of the material realm, a spark of pure emotion ignites, birthing a new wave of potential. The fertile ground of the earth receives this tender seed, nurturing it with the essence of life. As the tender shoots of possibility begin to unfurl, they reach for the light, yearning to manifest their true form. The earth's bounty provides sustenance, while the gentle rains of intuition guide the way. In this sacred dance between spirit and matter, the boundaries between the two blur, and the essence of the heart takes root, ready to flourish in the world of form.",en,89,12,0,101,0.119,"['material', 'a', 'a', 'tender', 'as', 'tender', 'to', 'light', 'to', 'true', 'dance', 'to']",[]
10,"In the depths of your soul, a spark ignites, a flame that flickers with the passion of a thousand suns. It is the fire of desire, of longing, of the unquenchable thirst for life's rich tapestry. This flame dances upon the waters of your emotions, casting shadows and reflections that reveal the hidden currents of your heart. As you gaze into the mirror of your own feelings, you see the beauty and the turmoil, the joy and the sorrow, the love and the loss. And in this moment of profound self-awareness, you understand that your emotions are not just a part of you, but the very essence of your being. They are the threads that weave your story, the colors that paint your world, the music that fills your days. Embrace them, for they are the key to unlocking your true potential, the gateway to a life of purpose and meaning.",en,137,16,0,153,0.105,"['soul', 'a', 'a', 'a', 'dances', 'casting', 'as', 'are', 'a', 'are', 'embrace', 'are', 'to', 'true', 'to', 'a']",[]
