Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"In the depths of the soul, a mighty fortress stands, its walls forged from the unyielding stone of resolve and the unshakeable pillars of purpose. Here, the waters of emotion swirl and churn, a turbulent sea that threatens to breach the stronghold at any moment. Yet, within this citadel, a wise and just ruler holds sway, guiding the tides of feeling with a steady hand and a heart of iron. The Emperor of the inner realm, he commands the forces of passion and desire, tempering their wildness with the discipline of will and the wisdom of experience. As the waters rise and fall, he stands firm, a beacon of stability in the tempests of the heart, a guardian of the sacred balance between reason and instinct, between the needs of the individual and the demands of the world outside. In his presence, the turbulent sea becomes a mirror, reflecting the depths of the soul and the true nature of the self.",en,137,24,0,161,0.149,"['soul', 'a', 'resolve', 'here', 'a', 'sea', 'to', 'a', 'a', 'a', 'he', 'discipline', 'as', 'rise', 'he', 'a', 'a', 'balance', 'individual', 'sea', 'a', 'soul', 'true', 'nature']",[]
1,"In the realm of the mind's eye, a bridge of balance spans the chasm between the inner and outer worlds, a symbol of harmony and equilibrium. The breath of life, a gentle breeze carrying the whispers of the divine, stirs the waters of thought, cleansing and clarifying the depths of consciousness. As the mind's gaze turns inward, the mirror of self-reflection reveals the intricate dance of ideas and emotions, a tapestry woven from the threads of experience and intuition. In this sacred space, the seeker finds the power to shape their reality through the artful manipulation of thought and word, a mastery of the subtle forces that govern the material and spiritual realms alike. With each breath, the individual inhales the essence of the universe, and exhales the manifestation of their deepest desires, a symphony of creation and destruction, birth and rebirth, played out upon the stage of the mind.",en,135,18,0,153,0.118,"['a', 'bridge', 'balance', 'a', 'a', 'divine', 'as', 'dance', 'ideas', 'a', 'to', 'reality', 'a', 'material', 'individual', 'inhales', 'exhales', 'a']",[]
2,"In the realm of manifestation, a spark ignites the fertile soil of potential, birthing a vision that takes root and grows with each passing day. The earthy scent of possibility fills the air as the seedling stretches towards the sun, its tendrils entwining with the roots of reality. With each step forward, the path becomes clearer, the landscape shifting to accommodate the unfolding dream. The journey is one of transformation, as the raw material of the mind is shaped and molded into a tangible form, a testament to the power of intention and the resilience of the human spirit. In this dance between the ethereal and the physical, the boundaries blur, and the infinite becomes finite, a living, breathing entity that nourishes and sustains all who touch it.",en,112,15,1,128,0.117,"['a', 'a', 'as', 'reality', 'to', 'as', 'material', 'a', 'tangible', 'a', 'to', 'human', 'dance', 'a', 'living']",['nourishes']
3,"In the realm of manifestation, where spirit meets matter, a tapestry of abundance unfurls. The threads of prosperity weave a rich fabric, a testament to the power of intention and the alchemy of desire. The earthy scent of fulfillment fills the air, as the fruits of labor ripen on the vine. In this verdant landscape, the boundaries between the physical and the metaphysical blur, and the material world becomes a canvas for the artist's soul. The rhythms of nature pulse through every fiber, reminding us that growth and renewal are the very essence of life. As we tend the garden of our existence, nurturing the seeds of our dreams, we find that the harvest is always more bountiful than we could have ever imagined.",en,109,15,1,125,0.12,"['a', 'a', 'a', 'to', 'as', 'labor', 'vine', 'material', 'a', 'soul', 'nature', 'pulse', 'are', 'as', 'more']",['unfurls']
4,"In the realm of the tangible, where the whispers of the soul take root in the earthy embrace of the material plane, a figure of keen intellect and discerning gaze emerges, wielding the sword of wisdom to cut through the veil of illusion and reveal the truth that lies beneath. With a heart as sharp as her mind, she navigates the labyrinth of resources, guiding her path with the light of her inner compass, ever vigilant against the seductive allure of false promises and the siren song of excess. Her presence is a testament to the power of self-mastery, a beacon of hope in the darkness, illuminating the path to a life of balance, harmony, and profound fulfillment.",en,94,25,0,119,0.21,"['tangible', 'soul', 'embrace', 'material', 'plane', 'a', 'figure', 'emerges', 'to', 'a', 'as', 'as', 'her', 'her', 'light', 'her', 'false', 'her', 'a', 'to', 'a', 'hope', 'to', 'a', 'balance']",[]
5,"In the depths of the soul, a nurturing presence reigns, a guardian of the heart's most tender secrets. Like a gentle stream, emotions flow, carrying with them the wisdom of the ages, the whispers of the subconscious, and the echoes of forgotten memories. This is a time to immerse oneself in the waters of feeling, to let the currents of emotion wash over and through, revealing the hidden truths that lie within. For in the depths of the emotional world, one finds the keys to connection, to understanding, and to the truest expression of the self. Let the waters of feeling guide you, and may you emerge transformed, with a deeper appreciation for the beauty and power of the heart's most intimate language.",en,109,16,0,125,0.128,"['soul', 'a', 'a', 'tender', 'a', 'echoes', 'a', 'time', 'to', 'to', 'lie', 'to', 'to', 'to', 'emerge', 'a']",[]
6,"In the depths of the soul, a flame flickers, a spark of divine will that yearns to be fanned into a blaze of purpose. The heart's deepest desires, long suppressed, now stir with renewed passion, demanding to be set free. As the fire of determination ignites, it burns away the ashes of complacency, revealing the path to true fulfillment. The seeker must now harness this inner power, directing it towards the creation of a life that reflects their highest aspirations. With each step forward, the flame grows brighter, illuminating the way towards a future where dreams and reality entwine in perfect harmony.",en,86,17,0,103,0.165,"['soul', 'a', 'a', 'divine', 'to', 'be', 'a', 'to', 'be', 'set', 'as', 'to', 'true', 'a', 'brighter', 'a', 'reality']",[]
7,"In the depths of the earth, where roots delve deep into the soil and ancient secrets slumber, a stillness prevails. The air is heavy with the weight of unspoken desires, and the ground trembles with the promise of transformation. Here, the boundaries between the physical and the spiritual blur, and the material world becomes a canvas for the manifestation of dreams. Yet, in this fertile ground, stagnation threatens to overtake growth, and the call to action echoes through the silence. The earth waits, patient and unyielding, for the spark of intention to ignite the cycle of creation anew. Will you heed the whisper of the land, and let your deepest longings take root? Or will you remain frozen in indecision, allowing the richness of the earth to wither beneath your feet? The choice is yours, and the earth will yield its secrets only to those who dare to sow the seeds of their desires.",en,140,14,0,154,0.091,"['a', 'heavy', 'here', 'material', 'a', 'to', 'to', 'echoes', 'to', 'land', 'to', 'to', 'dare', 'to']",[]
8,"In the crucible of transformation, the old must be shattered to make way for the new. The divine spark within, once fanned into a raging inferno, now threatens to consume all in its path. The will to create and destroy, to purify and renew, burns bright and fierce, leaving naught but ashes in its wake. Yet from these ashes, a phoenix rises, reborn in the fires of determination and passion. The path ahead is fraught with peril, but the drive to manifest one's truest desires cannot be denied. The choice is clear: to let the flames consume all, or to harness their power and forge a new reality from the very depths of one's soul.",en,96,21,0,117,0.179,"['be', 'to', 'divine', 'once', 'a', 'inferno', 'to', 'consume', 'to', 'to', 'bright', 'a', 'rises', 'to', 'be', 'to', 'consume', 'to', 'a', 'reality', 'soul']",[]
9,"In the depths of the soul, a wellspring of emotions bubbles forth, yearning to break free and take form in the world of matter. The tides of the heart swell with potential, aching to manifest in tangible expressions of love and connection. As the waters of the psyche overflow, they create a fertile ground for growth and nurturing, inviting the spirit to take root in the physical realm. The material plane, once a distant concept, now becomes a canvas for the artist of the soul to paint vibrant hues of passion and devotion. In this sacred dance between the ethereal and the earthly, the boundaries between spirit and matter blur, allowing for a harmonious union of the inner and outer worlds.",en,102,19,0,121,0.157,"['soul', 'a', 'to', 'break', 'to', 'tangible', 'as', 'a', 'to', 'material', 'plane', 'once', 'a', 'a', 'soul', 'to', 'hues', 'dance', 'a']",[]
