Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor, a card of authority and leadership, signifies a journey of leadership and responsibility. It is a card of power and influence, reminding us of the impact we can have on the world and the difference we can make. Like a beacon, this card shines a light on the path of leadership and responsibility, illuminating the journey towards impact and change. It is a reminder that we have the power to shape the world and leave our mark, and it is through this influence that we can bring about positive change and leave a lasting legacy. This card is a call to action, urging us to embrace our leadership and use our power wisely and responsibly.",en,99,18,0,117,0.154,"['a', 'a', 'a', 'can', 'can', 'a', 'a', 'light', 'a', 'to', 'can', 'positive', 'a', 'a', 'to', 'to', 'embrace', 'use']",[]
1,"The Temperance card, a card of balance and harmony, signifies the journey towards balance and the integration of opposites. It is a card of moderation and harmony, reminding us of the importance of balance in all things. Like a gentle wind, this card signifies the soft nudge that guides us towards harmony and integration. It is a reminder that balance is key, and that through moderation, we find our path towards harmony and unity. This card is a call to action, urging us to embrace the wind of change and use it to guide us towards a more harmonious and balanced path.",en,86,16,0,102,0.157,"['a', 'balance', 'balance', 'a', 'balance', 'a', 'a', 'balance', 'a', 'to', 'to', 'embrace', 'use', 'to', 'a', 'more']",[]
2,"The Three of Wands, a card of exploration and expansion, signifies a journey of discovery and the expansion of our horizons. It is a card of adventure and growth, reminding us of the potential that lies beyond our familiar surroundings. Like a beacon, this card shines a light on the path of exploration, inviting us to venture forth and discover new lands and opportunities. It is a reminder that growth comes from stepping outside our comfort zone and embracing the unknown. This card is a call to action, urging us to expand our horizons and embrace the adventures that lie ahead.",en,86,15,0,101,0.149,"['a', 'a', 'a', 'familiar', 'a', 'a', 'light', 'to', 'a', 'comes', 'a', 'to', 'to', 'embrace', 'lie']",[]
3,"The Ten of Pentacles, a card of abundance and success, signifies the culmination of a journey and the realization of a shared vision. It is a card of success and fulfillment, symbolizing the realization of a collective dream and the shared achievements of a community. Like a beacon, this card shines a light on the path towards unity and harmony, illuminating the journey towards shared success and the realization of a collective vision. It is a reminder that the earth we walk on is a testament to our collective efforts and the success that comes from unity and shared aspirations.",en,85,15,0,100,0.15,"['ten', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'light', 'a', 'a', 'a', 'to', 'comes']",[]
4,"The Queen of Swords, a card of wisdom and discernment, signifies a journey of self-discovery and the power of discernment. It is a card of insight and clarity, reminding us of the importance of our intuition and the wisdom that lies within. Like a sharp-edged sword, this card shines a light on the path of truth and insight, cutting through the fog of uncertainty and leading us towards a path of clarity and understanding. It is a reminder that our intuition is a powerful tool, and by trusting our wisdom, we can navigate life's challenges with discernment and insight. This card is a call to action, urging us to embrace our inner strength and use our wisdom to guide our choices and decisions.",en,109,17,0,126,0.135,"['queen', 'a', 'a', 'a', 'a', 'a', 'light', 'a', 'a', 'a', 'can', 'a', 'to', 'to', 'embrace', 'use', 'to']",[]
5,"The Queen of Pentacles, a card of nurturing and compassion, signifies the embodiment of emotional intelligence and empathy. It is a card of intuition and sensitivity, reminding us of the power of our emotions and the depth of our feelings. Like a gentle guide, this card leads us on a path of understanding and connection, encouraging us to nurture and tend to our emotional well-being and the well-being of others. It is a reminder that our emotions are a source of wisdom and strength, and by embracing them, we tap into a wellspring of compassion and empathy. This card is a reminder to trust our intuition and to tend to our emotional landscape, for it is in this nurturing that we find the strength to rise above the turmoil and chaos.",en,114,19,0,133,0.143,"['queen', 'a', 'a', 'a', 'a', 'to', 'to', 'a', 'are', 'a', 'a', 'a', 'to', 'trust', 'to', 'to', 'to', 'rise', 'chaos']",[]
6,"The Ten of Cups, a card of celebration and fulfillment, signifies the culmination of a journey and the realization of a shared vision. It is a card of community and harmony, symbolizing the coming together of hearts and the fulfillment of a shared dream. Like a beacon, this card shines a light on the path towards unity and harmony, illuminating the journey towards shared achievements and the realization of a collective vision. It is a reminder that the fire within us is the source of our passion and drive, and it is through this inner flame that we forge the path towards fulfillment and shared success.",en,95,11,0,106,0.104,"['ten', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'light', 'a', 'a']",[]
7,"The Four of Cups, a card of stability and growth, signifies the foundation of our dreams and the journey towards fulfillment. It is a card of patience and growth, reminding us of the importance of stability and the foundation upon which our dreams are built. Like a strong foundation, this card signifies the quiet work of nurturing and cultivating, reminding us that true growth comes from within. It is a reminder to trust the process and have faith in the journey, for it is through patience and perseverance that we reap the rewards of our labor. This card is a call to action, urging us to embrace the quiet work of preparation and the steady hand that guides our dreams towards fulfillment.",en,108,14,0,122,0.115,"['a', 'a', 'are', 'a', 'true', 'comes', 'a', 'to', 'trust', 'labor', 'a', 'to', 'to', 'embrace']",[]
8,"The Ten of Swords, a card of intense focus and dedication, signifies the culmination of a journey and the realization of a willful vision. It is a card of determination and perseverance, symbolizing the culmination of efforts and the realization of a willful vision. Like a beacon, this card shines a light on the path, illuminating the journey towards transformation and self-actualization. It is a reminder that the fire within us is the source of our drive and passion, and it is through this inner force that we forge our path and create our destiny.",en,85,11,0,96,0.115,"['ten', 'a', 'intense', 'a', 'a', 'a', 'a', 'a', 'a', 'light', 'a']",[]
9,"The Ace of Cups, a card of new beginnings and potential, signifies a fresh start and a well of inspiration. It is a card of hope and optimism, signaling the emergence of new ideas and a well of emotions. Like a seed in the ground, this card signifies the beginning of a journey, where the roots of our aspirations take hold and grow into something beautiful. It is a reminder that the well of emotions is a powerful force, ready to nourish the seeds of our dreams and aspirations.",en,77,12,0,89,0.135,"['a', 'a', 'a', 'a', 'hope', 'ideas', 'a', 'a', 'a', 'a', 'a', 'to']",[]
10,"The Page of Wands, a card of raw, untamed energy, represents the spark that ignites the flame of passion and creativity. It is a card of exploration and discovery, urging you to delve into the depths of your soul and uncover the hidden treasures of your emotions. Like a river, your feelings are a powerful force, flowing with a life of their own. Embrace this card's call to action, for it is in the depths of your heart that you will find the strength and wisdom you seek.",en,79,10,0,89,0.112,"['a', 'a', 'to', 'soul', 'a', 'are', 'a', 'a', 'embrace', 'to']",[]
11,"The Strength card, a card of resilience and strength, stands for the enduring power of the human spirit. It is a card of endurance and courage, reminding us of our capacity to overcome challenges and harness our inner strength. Like a beacon, this card shines a light on the path, guiding us to navigate life's trials with resilience and fortitude. It is a reminder that we are the masters of our destiny, capable of shaping our path and transforming our challenges into triumphs.",en,73,11,0,84,0.131,"['a', 'human', 'a', 'to', 'a', 'a', 'light', 'to', 'fortitude', 'a', 'are']",[]
12,"El Emperador es una carta de fuerza y control. El agua te invita a explorar tus emociones, a entender lo que te impulsa. El agua es una herramienta, una fuerza para guiar tus emociones. El Emperador te ofrece una base sólida, una conexión con tu ser. Tu fuerza es tu control, una herramienta para guiar tus emociones. Deja que el agua fluya, deje que tu fuerza se conecte con tu ser. Tu fuerza es tu control, una base sólida desde la cual guiar.",es,0,83,0,83,0.0,[],[]
13,"La Templanza es una carta de claridad y comunicación. El aire te ofrece una claridad, una conexión con tu mente. Tu fuerza es tu comunicación, una herramienta para guiar tus pensamientos. Deja que el aire fluya, deje que tu fuerza se conecte con tu ser. Tu fuerza es tu claridad, una base sólida desde la cual pensar.",es,0,57,0,57,0.0,[],[]
14,"El Tres de Bastos es una carta de acción y equilibrio. La tierra te ofrece una base sólida, una conexión con tus recursos. Tu fuerza es una acción, una fuerza para manifestar. La tierra te invita a manifestar tus emociones en forma, a dejar que tu acción se desborde y a cultivar una realidad equilibrada. Deja que la tierra te nutre, te conecta con tus recursos. Tu fuerza es tu acción, una base sólida desde la cual prosperar.",es,0,78,0,78,0.0,[],[]
15,"El Diez de Oros es una carta de abundancia y logro. La tierra te ofrece una base sólida, una conexión con tus recursos. Tu fuerza es una abundancia, una fuente de estabilidad. La tierra te invita a manifestar tus emociones en forma, a dejar que tu abundancia se desborde y a cultivar una realidad próspera. Deja que la tierra te nutre, te conecta con tus recursos. Tu fuerza es tu abundancia, una base sólida desde la cual prosperar.",es,0,78,0,78,0.0,[],[]
16,"La Reina de Espadas es una carta de control y equilibrio. La tierra te ofrece una base sólida, una conexión con lo tangible. Tu reina es una herramienta, una regla para guiar tus emociones. La tierra te invita a manifestar tus emociones en forma, a controlar tus impulsos y a cultivar una realidad equilibrada. Deja que la tierra te anclase, te conecte con tu cuerpo y te nutra. Tu reina es una fuerza de equilibrio, una regla para guiar tus emociones.",es,0,81,0,81,0.0,[],[]
17,"La Reina de Oros es una carta de intuición y emoción. El agua de tu ser se refleja en ti, una corriente de emociones. Tu reina es una intuición, una conexión con tu corazón. El agua te invita a explorar tus emociones, a entender lo que te impulsa. Tu intuición es una herramienta poderosa, una ventana a tu mundo interior. Deja que el agua fluya, deje que tu corazón se conecte. Tu sensibilidad es una fuente de sabiduría, una conexión con tu ser.",es,0,83,0,83,0.0,[],[]
18,"El Diez de Copas es una carta de celebración y logro. El fuego dentro de ti es una chispa divina, una fuerza que enciende tu pasión. Tu voluntad es una llama que te impulsa a actuar y a manifestarte. El fuego te invita a reconocer tu poder interior, a dejar que tu fuerza te impulse. Deja que el fuego de tu pasión te purifique, te renueve y te inspire. Tu fuerza es tu pasión, una chispa que enciende tu determinación.",es,0,79,1,80,0.0,[],['manifestarte']
19,"El Cuatro de Copas es una carta de estabilidad y recursos. La tierra te ofrece una base sólida, una conexión con lo tangible. Tu fuerza es tu estabilidad, una base sólida desde la cual explorar. La tierra te invita a manifestar tus emociones en forma, a controlar tus recursos y a cultivar una realidad equilibrada. Deja que la tierra te anclase, te conecte con tu cuerpo y te nutre. Tu fuerza es tu equilibrio, una base sólida desde la cual explorar.",es,0,81,0,81,0.0,[],[]
20,"El Diez de Espadas es una carta de pasión y fuerza. El fuego dentro de ti es una chispa divina, una fuerza que enciende tu motivación. Tu voluntad es una llama que te impulsa a actuar y a manifestarte. El fuego te invita a reconocer tu poder interior, a canalizar tu energía hacia tus deseos y acciones. Deja que el fuego te purifique, te renueve y te inspire. Tu fuerza es tu pasión, una chispa que enciende tu determinación.",es,0,78,1,79,0.0,[],['manifestarte']
21,"El As de Copas es una carta de poder y estabilidad. La tierra te ofrece una base sólida, una conexión con lo tangible. Tu fuerza es tu cuerpo, tu presencia física. La tierra te invita a manifestar tus emociones en forma, a materializar tus deseos y a cultivar tu realidad. Deja que la fuerza de la tierra te anclase, te conecte con tu cuerpo y te nutra. Tu fuerza es tu estabilidad, una base sólida desde la cual explorar y manifestar tus emociones.",es,0,83,0,83,0.0,[],[]
22,"El agua fluye dentro de ti, una corriente de emociones que se entregan a la superficie. Tu corazón es un océano de sentimientos, una profunda fuente de intuición. El agua de tu alma, una fuente de sabiduría, se extiende hacia los demás, conectando a través de la empatía. Tu sensibilidad es una herramienta poderosa, una ventana a tu mundo interior. Sumérgete en las profundidades de tu ser, explora las emociones que te impulsan. El agua te invita a honrar tu corazón, a navegar por las turbulencias de la pasión y la compasión. Deja que tu intuición fluya, porque en tu emoción se encuentran verdades ocultas.",es,0,104,1,105,0.0,[],['sumérgete']
23,"La tierra te ofrece una base sólida, una conexión con lo tangible. Tu fuerza se encuentra en la estabilidad, en la conexión con tu cuerpo y tu entorno. La tierra te invita a manifestar tus emociones en forma, a materializar tus deseos y a cultivar tu realidad. Deja que la fuerza de la tierra te anclase, te conecte con tu cuerpo y te nutra. Tu fuerza es tu estabilidad, una base sólida desde la cual explorar y manifestar tus emociones.",es,0,80,0,80,0.0,[],[]
