Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor stands tall and proud, his throne built upon the waters of emotion. His presence commands respect and obedience, yet beneath his regal exterior lies a heart that beats with the rhythm of the waves. The Emperor understands that true power comes not from dominion over others, but from mastery of the self. He knows that to lead effectively, one must first learn to navigate the turbulent seas of their own feelings. With each decision, he weighs the currents of intuition against the rocks of reason, seeking balance between the two. The Emperor's wisdom lies not in his crown, but in his ability to ride the tides of emotion without losing sight of his destination.",en,105,11,1,117,0.094,"['exterior', 'a', 'true', 'comes', 'he', 'to', 'to', 'seas', 'he', 'balance', 'to']",['proud']
1,"The breath of wisdom whispers through the mind's chambers, illuminating the pathways of thought. As consciousness expands, ideas dance upon the currents of air, carried by the winds of inspiration. The mind becomes a sacred vessel, receiving divine whispers and weaving them into tapestries of understanding. With each inhalation, the seeker draws closer to the source of knowledge, while exhalation releases the stale breath of ignorance. In this dance of inhalation and exhalation, the mind finds its rhythm, attuning itself to the cosmic symphony of truth.",en,79,8,0,87,0.092,"['as', 'ideas', 'dance', 'a', 'divine', 'to', 'dance', 'to']",[]
2,"The Three of Wands speaks of potential realized through collaboration and shared vision. It represents the fruits of labor, the rewards of perseverance. This card invites you to celebrate your achievements while recognizing that success is rarely solitary. The wands themselves symbolize the power of collective effort, the strength found in unity of purpose. As you stand amidst the bounty you've cultivated, take a moment to acknowledge those who've walked beside you on this journey. Their contributions, however subtle, have shaped the landscape of your triumphs. In this moment of gratitude, plant seeds of further growth. Tend to the relationships that nourish your spirit and your goals. For it is through the weaving of many hands that the greatest harvests take root.",en,113,11,0,124,0.089,"['labor', 'invites', 'to', 'as', 'stand', 've', 'a', 'to', 've', 'gratitude', 'to']",[]
3,"The Ten of Pentacles represents the pinnacle of material success and abundance. It symbolizes the fulfillment of earthly desires and the achievement of stability and prosperity. This card invites us to reflect on the tangible manifestations of our spiritual journey, reminding us that our beliefs and emotions have the power to shape our physical reality. As we navigate the complexities of life, we are called upon to cultivate a deep connection with the earth beneath our feet, recognizing that our actions have far-reaching consequences. The Ten of Pentacles encourages us to embrace our role as stewards of the planet, nurturing and sustaining life in all its forms. Through this card, we are reminded that true wealth lies not only in material possessions but also in the richness of our relationships and the harmony we cultivate within ourselves and with the world around us.",en,124,20,0,144,0.139,"['ten', 'material', 'invites', 'to', 'tangible', 'to', 'reality', 'as', 'are', 'to', 'a', 'far', 'ten', 'to', 'embrace', 'role', 'as', 'are', 'true', 'material']",[]
4,"The Queen of Swords stands tall amidst the earthly realm, her blade gleaming with the clarity of truth. She embodies the essence of justice, cutting through illusions and revealing what lies beneath the surface. With her keen intellect and unwavering resolve, she navigates the complexities of material existence, discerning between what is real and what is mere facade. Her presence invites introspection, urging us to confront our shadows and forge a path guided by integrity and authenticity. As she wields her sword with grace and precision, the Queen of Swords reminds us that true power lies not in dominion over others, but in the mastery of our own minds and hearts.",en,96,15,0,111,0.135,"['queen', 'her', 'her', 'resolve', 'material', 'real', 'mere', 'her', 'invites', 'to', 'a', 'as', 'her', 'queen', 'true']",[]
5,"The Queen of Pentacles invites you to embrace your emotional nature, to dive deep into the waters of your soul and emerge transformed. Her gentle touch soothes turbulent waves, guiding you towards tranquil pools where you may reflect upon your innermost truths. Allow yourself to be carried by the currents of empathy, flowing effortlessly into resonance with others' hearts. Through this immersion, you shall discover the depths of your own being, unlocking intuitive wisdom that whispers secrets long forgotten. Embrace the power of your emotions, for they are the key to unlocking your authentic self and connecting with the world around you.",en,87,15,0,102,0.147,"['queen', 'invites', 'to', 'embrace', 'nature', 'to', 'soul', 'emerge', 'her', 'tranquil', 'to', 'be', 'embrace', 'are', 'to']",[]
6,"The Ten of Cups represents the fulfillment of desires and the achievement of happiness through the union of love, family, and abundance. This card speaks of domestic bliss, harmony, and emotional satisfaction. It symbolizes the completion of a journey towards emotional fulfillment and the realization of one's deepest aspirations. The Ten of Cups invites you to celebrate the joy and abundance that surround you. It encourages you to embrace the warmth and comfort of your loved ones, knowing that true happiness lies in the bonds you forge with others. This card reminds you that the pursuit of your dreams and the cultivation of meaningful relationships are essential elements of a life well-lived. As you bask in the glow of your accomplishments, remember to extend your generosity and compassion towards those around you, creating a ripple effect of positivity that touches the lives of many.",en,133,13,0,146,0.089,"['ten', 'a', 'ten', 'invites', 'to', 'to', 'embrace', 'true', 'are', 'a', 'as', 'to', 'a']",[]
7,"In the realm of matter, where the tangible meets the ethereal, there lies a stillness that whispers secrets of the soul. The Four of Cups invites contemplation amidst the bustle of existence, urging us to pause and reflect upon the depths of our being. It whispers tales of contentment found in simplicity, reminding us that fulfillment often resides in the spaces between the cups we hold aloft. This card invites us to seek balance between the material and the spiritual, to nurture our bodies and minds with equal care. It encourages us to ground ourselves in the earth beneath our feet, finding stability amidst the ever-shifting sands of life. The Four of Cups invites us to listen to the whispers of our hearts, to trust in the wisdom that resides within us. It reminds us that true abundance lies not in the accumulation of possessions but in the cultivation of inner peace and harmony with the world around us.",en,136,24,0,160,0.15,"['tangible', 'a', 'soul', 'invites', 'to', 'pause', 'tales', 'resides', 'invites', 'to', 'balance', 'material', 'to', 'bodies', 'care', 'to', 'invites', 'to', 'listen', 'to', 'to', 'trust', 'resides', 'true']",[]
8,"The Ten of Swords pierces through the veil of illusion, revealing the truth that lies beneath. It cuts through the tangled webs of deceit and exposes the raw essence of being. This card signifies the end of a cycle, the completion of a journey fraught with trials and tribulations. It invites you to confront the shadows within, to acknowledge the wounds that have shaped your soul. Yet even in the depths of despair, there is a glimmer of hope. The Ten of Swords offers liberation from the chains of the past, a chance to rise from the ashes of destruction. It whispers secrets of resilience and renewal, urging you to embrace the transformative power of surrender. Let go of what no longer serves you, and step boldly into the unknown. Trust in the wisdom of your heart, and allow yourself to be guided by the flames of your own divine essence.",en,128,22,1,151,0.146,"['ten', 'a', 'a', 'invites', 'to', 'to', 'soul', 'a', 'hope', 'ten', 'a', 'chance', 'to', 'rise', 'to', 'embrace', 'go', 'no', 'trust', 'to', 'be', 'divine']",['webs']
9,"The Ace of Cups represents the pure potential of love, creativity, and spiritual nourishment. It invites us to open our hearts fully, allowing divine inspiration to flow freely into our lives. This card suggests that now is the time to embrace vulnerability and trust in the universe's abundance. As we surrender to the currents of emotion and intuition, we may find ourselves drawn into profound experiences of unity and connection. The Ace of Cups encourages us to cultivate practices that nurture our inner well-being, such as meditation, prayer, and acts of compassion. Through these sacred rituals, we can tap into the eternal fountain of love that resides within us all.",en,96,16,0,112,0.143,"['invites', 'to', 'open', 'divine', 'to', 'time', 'to', 'embrace', 'trust', 'as', 'to', 'to', 'as', 'can', 'eternal', 'resides']",[]
