Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"In the depths of your being, a wellspring of emotions flows. This sacred water nourishes the soil of your heart, bringing forth the tender shoots of compassion and understanding. As the Emperor, you embody the strength and wisdom to navigate the currents of your inner world. Trust in the power of your emotions, for they are the key to unlocking the treasures of your soul. Let your heart be the compass that guides you through the challenges of life, always pointing towards the path of growth and self-discovery. As you dive into the depths of your emotional landscape, you will find the strength to face your fears and embrace your true potential.",en,99,13,1,113,0.115,"['a', 'tender', 'as', 'to', 'trust', 'are', 'to', 'soul', 'be', 'as', 'to', 'embrace', 'true']",['nourishes']
1,"In the garden of your mind, a delicate balance blooms. The Temperance card invites you to cultivate the art of moderation, finding harmony between the diverse elements that shape your inner landscape. Let the breath of inspiration be the wind that carries your thoughts, guiding you towards a deeper understanding of yourself and the world around you. Trust in the power of your intellect, for it is the key to unlocking the wisdom that lies within. As you navigate the currents of your mind, seek to align your words with the truth of your heart, creating a bridge between the realms of thought and emotion. In the dance of balance, find the rhythm of your authentic self, expressing your unique voice with clarity and grace.",en,111,14,0,125,0.112,"['a', 'balance', 'invites', 'to', 'be', 'a', 'trust', 'to', 'as', 'to', 'a', 'bridge', 'dance', 'balance']",[]
2,"In the fertile soil of your imagination, seeds of inspiration take root. As you nurture these ideas with the wisdom of the earth, they blossom into tangible visions of your future. The Three of Wands invites you to step back and survey the landscape of your dreams, observing how your efforts have laid the foundation for growth and expansion. Let the earth beneath your feet be a reminder of the stability and security you have cultivated, a platform from which you can launch your next great adventure. Trust in the power of your creativity, for it is the key to unlocking the abundance that awaits you. As you plant the seeds of your aspirations, know that they will flourish in the rich soil of your determination and vision.",en,116,12,0,128,0.094,"['as', 'ideas', 'tangible', 'invites', 'to', 'be', 'a', 'a', 'can', 'trust', 'to', 'as']",[]
3,"In the fertile soil of your existence, a bountiful harvest awaits. The fruits of your labors, nurtured by the wisdom of the earth, have ripened into a testament to your success. As you stand amidst the abundance of your achievements, take a moment to appreciate the journey that brought you to this point. Let the earth beneath your feet be a reminder of the stability and security you have cultivated, a foundation upon which you can build an even brighter future. Embrace the legacy you have created, knowing that your efforts have not only benefited yourself but also those around you. In the garden of your life, plant the seeds of your dreams, confident in the knowledge that they will flourish in the rich soil of your accomplishments.",en,114,14,0,128,0.109,"['a', 'a', 'to', 'as', 'stand', 'a', 'to', 'to', 'be', 'a', 'a', 'can', 'brighter', 'embrace']",[]
4,"With the sharpness of a sword, you cut through the illusions that obscure your path. Your keen intellect and discerning eye allow you to navigate the material world with clarity and precision. As the Queen of Swords, you embody the wisdom of the earth, grounded in the practical realities of life. Trust in your ability to make sound decisions, guided by the insights of your mind. Let your actions be a testament to your strength and resilience, as you shape your reality with the power of your will. In the garden of your existence, tend to the seeds of your aspirations, nurturing them with the fertile soil of your determination.",en,97,13,0,110,0.118,"['a', 'to', 'material', 'as', 'queen', 'trust', 'to', 'be', 'a', 'to', 'as', 'reality', 'to']",[]
5,"In the depths of your being, a wellspring of emotions flows. This sacred water nourishes the soil of your heart, bringing forth the tender shoots of compassion and understanding. As the Queen of Pentacles, you embody the nurturing energy of the earth, pouring out your love in abundance. Your emotional sensitivity is a gift, allowing you to connect deeply with others and to tend to their needs with care and devotion. Trust in the wisdom of your feelings, for they guide you towards the path of healing and growth. Let your heart be the fertile ground where seeds of love take root, blossoming into a garden of beauty and abundance.",en,97,12,1,110,0.109,"['a', 'tender', 'as', 'queen', 'a', 'to', 'to', 'to', 'care', 'trust', 'be', 'a']",['nourishes']
6,"In the crucible of your heart, a fire of love burns brightly. This sacred flame ignites your passion, fueling your desire to create a life of joy and fulfillment. As you harness the power of your will, you manifest the deepest longings of your soul, bringing forth a bounty of blessings. Let your love be the catalyst for transformation, burning away the limitations that hold you back from your highest potential. Embrace the fire within, for it is the key to unlocking the treasures of your heart's desires.",en,80,9,0,89,0.101,"['a', 'to', 'a', 'as', 'soul', 'a', 'be', 'embrace', 'to']",[]
7,"In the garden of your heart, you find yourself at a crossroads. The fruits of your labors lie before you, yet a sense of discontent lingers. It is time to reflect upon the seeds you have sown, and to consider whether they align with the deepest desires of your soul. Let the earth beneath your feet be a reminder of the abundance that surrounds you, even in the face of uncertainty. Trust in the wisdom of your intuition, for it will guide you towards the path of true fulfillment. As you tend to the soil of your existence, nurture the dreams that set your spirit ablaze, for they hold the key to a life of purpose and joy.",en,102,16,0,118,0.136,"['a', 'lie', 'a', 'time', 'to', 'to', 'soul', 'be', 'a', 'trust', 'true', 'as', 'to', 'set', 'to', 'a']",[]
8,"Within the crucible of your soul, a fire burns brightly. This sacred flame is the essence of your will, the driving force behind your every action. Let it illuminate the path of your desires, guiding you towards the fulfillment of your deepest aspirations. Yet be mindful, for this power can also consume, burning away the illusions that obscure your true purpose. Embrace the transformative potential of this inner fire, allowing it to purify your intentions and align them with the highest expression of your being. As you harness the energy of your will, you become a conduit for divine creation, manifesting your dreams in the world of form.",en,97,11,0,108,0.102,"['soul', 'a', 'be', 'can', 'consume', 'true', 'embrace', 'to', 'as', 'a', 'divine']",[]
9,"From the depths of your being, a wellspring of abundance flows. This sacred water nourishes the soil of your life, bringing forth the fruits of your desires. Drink deeply from this cup of blessings, for it is the elixir of your soul's fulfillment. As you pour out this essence, it takes root in the fertile ground of your existence, manifesting as the tangible expressions of your heart's longings. Trust in the power of this inner resource, for it holds the key to your material prosperity and spiritual wealth. Let your cup overflow with gratitude, and watch as the waters of abundance irrigate every aspect of your life.",en,97,11,1,109,0.101,"['a', 'elixir', 'soul', 'as', 'as', 'tangible', 'trust', 'to', 'material', 'gratitude', 'as']",['nourishes']
10,"Beneath the surface, a wellspring of emotions flows, mirroring the depths of the soul. Immerse yourself in this inner world, for it holds the key to self-understanding. Let your feelings guide you, like a compass pointing towards truth. Connect with the currents of empathy, allowing them to carry you towards meaningful bonds. In the ebb and flow of your emotional landscape, you will find the wisdom to navigate life's tides.",en,66,6,0,72,0.083,"['a', 'soul', 'to', 'a', 'to', 'to']",[]
11,"The earth beneath your feet is a testament to your strength. It bears the imprint of your every step, a trail of your journey through life. Nurture this ground with care, for it is the foundation upon which you build your dreams. Let your actions be guided by the wisdom of the soil, which knows how to sustain and nourish. In the dance between spirit and matter, find the rhythm of balance. Your physical form is a sacred vessel, a temple of your essence. Honor it with reverence, for it is the bridge between the invisible and the tangible. As you tend to the earth within and around you, you cultivate the seeds of your deepest desires.",en,100,17,0,117,0.145,"['a', 'to', 'a', 'care', 'be', 'to', 'dance', 'balance', 'a', 'a', 'temple', 'honor', 'bridge', 'invisible', 'tangible', 'as', 'to']",[]
12,"El emperador del corazón se sienta en su trono de emociones, con un dominio firme sobre su reino interior. Su sabiduría intuitiva le permite navegar a través de las aguas turbulentas de la psique, encontrando la calma en medio de la tormenta. Con cada decisión, él considera cuidadosamente las necesidades de su pueblo emocional, asegurándose de que todos sean escuchados y atendidos. El emperador de la empatía se conecta con los demás a través de la comprensión, permitiendo una comunicación abierta y honesta. Su liderazgo emocional inspira a otros a abrazar la belleza de sus sentimientos, y a usar su sensibilidad como una fuerza para el cambio y la transformación.",es,0,109,1,110,0.0,[],['asegurándose']
13,"La templanza del pensamiento fluye a través de ti, equilibrando las fuerzas opuestas de la mente. Con cada respiración, absorbes la sabiduría del universo, permitiendo que las ideas divinas se manifiesten en tu conciencia. Permite que el aire de la claridad mental llene tus pulmones, proporcionándote la capacidad de discernir entre lo verdadero y lo falso. Usa este don para comunicarte con el mundo de manera efectiva, expresando tus pensamientos con precisión y propósito. Honra la conexión entre tu mente y el cosmos, y permite que la sabiduría superior guíe tus palabras y acciones. Con cada exhalación, libera lo que ya no te sirve, haciendo espacio para nuevas ideas y perspectivas.",es,0,109,2,111,0.0,[],"['proporcionándote', 'comunicarte']"
14,"Tres bastones se alzan en un campo fértil, representando el crecimiento y la fuerza de la tierra. Estos bastones son símbolos de tu capacidad para manifestar tus sueños en el plano físico, convirtiendo tus ideas en acciones tangibles. Permite que la estabilidad de la tierra se manifieste en tu vida, proporcionándote una base sólida sobre la cual construir tu futuro. Honra la conexión entre tu mundo interior y exterior, y alinea tus acciones con tus valores más profundos. Con cada paso que das hacia adelante, renueva tu compromiso con la sostenibilidad y la responsabilidad, asegurándote de que tus esfuerzos beneficien no solo a ti mismo, sino también a la comunidad y al planeta que te rodean.",es,0,114,2,116,0.0,[],"['proporcionándote', 'asegurándote']"
15,"Diez monedas de oro yacen en un campo fértil, cada una representando una abundancia material alcanzada. Estas monedas son el fruto de tu trabajo duro y tu dedicación, una prueba tangible de tu éxito y tu capacidad para manifestar tus deseos en el plano físico. Permite que la estabilidad de la tierra se manifieste en tu vida, proporcionándote una base sólida sobre la cual construir tu futuro. Honra la conexión entre tu mundo interior y exterior, y alinea tus acciones con tus valores más profundos. Con cada moneda ganada, renueva tu compromiso con la sostenibilidad y la responsabilidad, asegurándote de que tus esfuerzos beneficien no solo a ti mismo, sino también a la comunidad y al planeta que te rodean.",es,0,118,2,120,0.0,[],"['proporcionándote', 'asegurándote']"
16,"La reina de la mente se sienta en su trono de tierra, con los pies firmemente arraigados en la realidad. Su agudeza mental le permite cortar a través de las ilusiones y ver la verdad desnuda. Con cada decisión, ella considera cuidadosamente los recursos a su disposición, asegurándose de que sus acciones sean sólidas y sostenibles. La reina de las estrategias navega con sabiduría a través de las aguas de la vida, encontrando el equilibrio entre sus aspiraciones espirituales y sus necesidades materiales. Su enfoque práctico y su visión clara la guían hacia la realización de sus sueños, mientras honra la conexión entre su mundo interior y exterior. La reina de las ideas enraizadas en la tierra es un modelo de autenticidad y propósito, inspirando a otros a vivir de acuerdo con sus valores más profundos.",es,0,134,2,136,0.0,[],"['asegurándose', 'enraizadas']"
17,"La reina del corazón navega por las aguas emocionales, guiada por la sabiduría de su intuición. Su sensibilidad la conecta con las profundidades de su ser, revelando verdades ocultas y secretos del alma. Con cada ola de emoción, ella fluye y se adapta, encontrando la calma en medio de la tormenta. Su empatía la permite nadar en las aguas de la conexión, comprendiendo las experiencias compartidas y fortaleciendo los lazos con los demás. La reina del corazón honra la riqueza de sus sentimientos, permitiendo que la guíen hacia la autodescubrimiento y la transformación. En su reino emocional, ella reina con compasión y sabiduría, inspirando a otros a abrazar la belleza de su propio corazón.",es,0,113,1,114,0.0,[],['autodescubrimiento']
